code,full_text
03Dxx,Class: Mathematical logic and foundations Subclass: Computability and recursion theory
03D03,"Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Thue and Post systems, etc."
03D05,Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Automata and formal grammars in connection with logical questions
03D10,Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Turing machines and related notions
03D15,Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Complexity of computation (including implicit computational complexity)
03D20,"Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Recursive functions and relations, subrecursive hierarchies"
03D25,Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Recursively (computably) enumerable sets and degrees
03D28,Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Other Turing degree structures
03D30,Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Other degrees and reducibilities in computability and recursion theory
03D32,Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Algorithmic randomness and dimension
03D35,Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Undecidability and degrees of sets of sentences
03D40,"Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Word problems, etc. in computability and recursion theory"
03D45,"Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Theory of numerations, effectively presented structures"
03D50,"Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Recursive equivalence types of sets and structures, isols"
03D55,Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Hierarchies of computability and definability
03D60,"Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Computability and recursion theory on ordinals, admissible sets, etc."
03D65,Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Higher-type and set recursion theory
03D70,Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Inductive definability
03D75,Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Abstract and axiomatic computability and recursion theory
03D78,"Class: Mathematical logic and foundations Subclass: Computability and recursion theory Subsubclass: Computation over the reals, computable analysis"
